,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
210,NA,40-59,NH Black,Some college/TS,0.02111874,0.021112795,0.000287642,649,0.994215372,0.994215372
211,NA,40-59,NH Black,>=College grad,0.003286584,0.014451558,-1.492218655,101,1.91E-60,3.10E-60
212,NA,40-59,NH White,<HSG,0.011584394,0.022046193,-0.65412194,356,8.45E-36,1.22E-35
213,NA,40-59,NH White,HSG/GED,0.026910937,0.053144471,-0.707810374,827,2.11E-93,3.74E-93
214,NA,40-59,NH White,Some college/TS,0.030783248,0.086737145,-1.095376103,946,4.08E-266,7.95E-266
215,NA,40-59,NH White,>=College grad,0.006410465,0.05702508,-2.237843861,197,0,0
216,NA,40-59,Other,<HSG,0.000390485,0.001205077,-1.12772371,12,3.85E-05,4.12E-05
217,NA,40-59,Other,HSG/GED,0.000455566,0.003081763,-1.914347394,14,9.91E-17,1.27E-16
218,NA,40-59,Other,Some college/TS,0.000715889,0.007392067,-2.3413403,22,1.69E-42,2.54E-42
219,NA,40-59,Other,>=College grad,0.000162702,0.004326664,-3.284804192,5,9.87E-29,1.35E-28
220,NA,59+,Hispanic,<HSG,0.08444242,0.025130333,1.274764807,2595,0,0
221,NA,59+,Hispanic,HSG/GED,0.027041099,0.007962018,1.242094998,831,0,0
222,NA,59+,Hispanic,Some college/TS,0.022713221,0.007162458,1.16988088,698,2.89E-229,5.50E-229
223,NA,59+,Hispanic,>=College grad,0.003221503,0.004688171,-0.376667163,99,0.000167278,0.00017632
224,NA,59+,NH Asian,<HSG,0.002212749,0.007499484,-1.225911026,68,6.45E-27,8.67E-27
225,NA,59+,NH Asian,HSG/GED,0.001692102,0.003210743,-0.642052917,52,2.53E-06,2.74E-06
226,NA,59+,NH Asian,Some college/TS,0.003058801,0.003734782,-0.200344795,94,0.052053983,0.054136142
227,NA,59+,NH Asian,>=College grad,0.000878592,0.006187162,-1.957239023,27,1.74E-32,2.47E-32
228,NA,59+,NH Black,<HSG,0.124304448,0.016062588,2.162784757,3820,0,0
229,NA,59+,NH Black,HSG/GED,0.056457649,0.011718243,1.618670495,1735,0,0
230,NA,59+,NH Black,Some college/TS,0.057075917,0.017532411,1.221412635,1754,0,0
231,NA,59+,NH Black,>=College grad,0.006866031,0.007521509,-0.091840812,211,0.183536595,0.188366505
232,NA,59+,NH White,<HSG,0.101135661,0.038564619,1.031422772,3108,0,0
233,NA,59+,NH White,HSG/GED,0.139923855,0.095530175,0.431984238,4300,1.86E-154,3.38E-154
234,NA,59+,NH White,Some college/TS,0.139565911,0.12110577,0.163100217,4289,3.44E-23,4.47E-23
235,NA,59+,NH White,>=College grad,0.032149946,0.104494464,-1.256412086,988,0,0
236,NA,59+,Other,<HSG,0.002115128,0.001110389,0.64541159,65,1.23E-07,1.37E-07
237,NA,59+,Other,HSG/GED,0.001757183,0.004296558,-0.896649288,54,1.00E-11,1.22E-11
238,NA,59+,Other,Some college/TS,0.001919885,0.011931743,-1.837018594,59,9.00E-59,1.43E-58
239,NA,59+,Other,>=College grad,0.000553187,0.004771543,-2.158957985,17,7.28E-27,9.62E-27
240,Male,18-39,Hispanic,<HSG,0,0.006303479,#NAME?,0,#NAME?,#NAME?
241,Male,18-39,Hispanic,HSG/GED,0,0.004277082,#NAME?,0,#NAME?,#NAME?
242,Male,18-39,Hispanic,Some college/TS,0,0.004183741,#NAME?,0,#NAME?,#NAME?
243,Male,18-39,Hispanic,>=College grad,0,0.001798887,#NAME?,0,#NAME?,#NAME?
244,Male,18-39,NH Asian,<HSG,0,0.000545786,#NAME?,0,#NAME?,#NAME?
245,Male,18-39,NH Asian,HSG/GED,0,0.000286943,#NAME?,0,#NAME?,#NAME?
246,Male,18-39,NH Asian,Some college/TS,0,0.000676918,#NAME?,0,#NAME?,#NAME?
247,Male,18-39,NH Asian,>=College grad,0,0.003636529,#NAME?,0,#NAME?,#NAME?
248,Male,18-39,NH Black,<HSG,0,0.002215073,#NAME?,0,#NAME?,#NAME?
249,Male,18-39,NH Black,HSG/GED,0,0.00220315,#NAME?,0,#NAME?,#NAME?
250,Male,18-39,NH Black,Some college/TS,0,0.004696002,#NAME?,0,#NAME?,#NAME?
251,Male,18-39,NH Black,>=College grad,0,0.002549657,#NAME?,0,#NAME?,#NAME?
252,Male,18-39,NH White,<HSG,0,0.003232055,#NAME?,0,#NAME?,#NAME?
253,Male,18-39,NH White,HSG/GED,0,0.010956871,#NAME?,0,#NAME?,#NAME?
254,Male,18-39,NH White,Some college/TS,0,0.019385674,#NAME?,0,#NAME?,#NAME?
255,Male,18-39,NH White,>=College grad,0,0.01072536,#NAME?,0,#NAME?,#NAME?
256,Male,18-39,Other,<HSG,0,0.00034108,#NAME?,0,#NAME?,#NAME?
257,Male,18-39,Other,HSG/GED,0,0,-9999999,0,-9999999,-30384612.35
258,Male,18-39,Other,Some college/TS,0,0.001405148,#NAME?,0,#NAME?,#NAME?
259,Male,18-39,Other,>=College grad,0,0.000797764,#NAME?,0,#NAME?,#NAME?
260,Male,40-59,Hispanic,<HSG,0.007712082,0.008848501,-0.138605796,237,0.033397904,0.035179125
261,Male,40-59,Hispanic,HSG/GED,0.004913605,0.004526115,0.082533239,151,0.311548635,0.321729963
262,Male,40-59,Hispanic,Some college/TS,0.004913605,0.006604339,-0.297419486,151,0.00025299,0.000279527
263,Male,40-59,Hispanic,>=College grad,0.000878592,0.002918915,-1.202691202,27,3.36E-11,4.24E-11
264,Male,40-59,NH Asian,<HSG,0.000130162,0.001463538,-2.421168506,4,1.21E-14,1.67E-14
265,Male,40-59,NH Asian,HSG/GED,0.000260323,0.001332855,-1.634226785,8,2.56E-07,3.02E-07
266,Male,40-59,NH Asian,Some college/TS,0.000683349,0.000738054,-0.077065989,21,0.723992922,0.7281188
267,Male,40-59,NH Asian,>=College grad,0.000260323,0.003334956,-2.553369983,8,8.85E-21,1.27E-20
268,Male,40-59,NH Black,<HSG,0.010152615,0.003612088,1.04003127,312,2.00E-81,3.56E-81
